FID,LSOA21CD,GlobalID,x,y
233,E01015562,b18b037b-76ec-4452-8256-dec8576f385d,411750.0484,186688.2414
234,E01016676,f1460c75-f075-475d-86a3-ee71fbf59f54,478877.016,178639.477600001
235,E01023186,32fcec1c-d99e-4dea-8e2c-93706b3b3921,435000.4699,145095.1544
236,E01015133,aa95fd50-27f1-406a-87f0-1a9209ee9a54,252592.7884,53314.7169000003
237,E01030911,39800d51-2f1b-4cae-9aec-0d131efc8354,497330.1079,145468.994000001
238,E01034933,4d39467b-dbbc-448e-96e0-3912c5c4b918,409741.9314,287949.2182
239,E01031444,03c147b6-5139-4110-a001-28e4072ebe6b,493304.0544,99655.2310000006
240,E01001790,fbab53b6-299f-48c9-ac65-00360b340f4b,536424.3046,185601.511299999
241,E01003820,dd6e7fbc-6d6b-4982-b5ba-22acd5ab76da,517243.0565,171770.7315
242,E01024472,d55bf14a-b761-44a5-bd12-087fc370af8e,552206.0819,168548.463400001
243,E01023254,1c6cf01b-0237-4b19-a90a-21f8d2f0cb8d,448076.6559,130387.1318
244,E01031837,11f3989a-8f26-48de-b4c5-d2fe7e37c68f,513349.1489,103477.1766
245,E01024232,378dbfe0-c66c-4758-8b0c-a225567d04df,637464.2119,148407.9518
246,E01034936,8b50c1a7-45c8-4973-afdf-d1f53f83d2dc,405349.3416,285033.077299999
247,E01035316,eeb2dbf0-e005-4f36-8ee2-17cdbd62f82e,635443.7354,171080.448799999
248,E01002184,9b7a10d3-9624-4e51-8874-333c70e6ce7d,516000.7339,189902.6602
249,E01033380,b1ed8b18-4b88-4204-9dad-3fca8a871fa7,463179.8061,99825.3442000002
250,E01004635,6297e223-c52d-4cd0-8f4f-05f7e761340d,524126.8461,173082.967800001
251,E01014873,22350043-f199-4535-ab9b-76f1e2154a95,362301.8264,180714.565300001
252,E01001984,b74881f6-b97a-4378-bcd2-237ec880db7d,529703.9515,187905.0353
253,E01030358,632b6cca-c608-40cc-8b40-5f000b29fda4,510423.5238,166657.7601
254,E01032064,9893aa14-b34b-4639-869b-1b22ea8d3646,391147.255,164842.0206
255,E01003644,849dcf10-ff57-47cd-b4bb-71f4e5cd92e6,544092.9718,188418.760199999
256,E01000662,3d9f582c-9fc6-4743-aa8b-95331d773c9c,542636.3516,167449.852600001
257,E01002994,8833c588-3c12-49cb-9feb-648e5276cfcd,518179.7165,166040.562999999
258,E01034198,10d4abbf-e1ab-4ef7-93ad-542a386a7bcc,542258.9356,179193.9673
259,E01016200,d220c6ca-a951-435e-be92-ed306c900d37,488150.0379,166794.3642
260,W01001450,a37389ca-a0bc-480c-b06b-63f6b690723f,318403.1196,205555.4825
261,E01014456,28568fce-1845-4c0c-8b84-8e036b2066f5,372813.8023,163273.2465
262,E01021137,d2dde03c-a1ea-408a-bd65-34dab993b53b,573364.7478,109592.5349
263,E01030352,e0ce6f9a-5713-4378-a802-9738b33d9601,515712.1779,166851.2761
264,E01021200,df5dba78-9297-4973-9768-732802473457,557708.7387,117162.437799999
265,E01001428,ab0b0f4f-a7ac-4055-82ee-b86b4d259919,533850.6183,193202.824100001
266,E01034395,7c066c8e-7133-41e3-82cb-560f71db84fa,537891.2031,175798.5305
267,E01032670,05f4d348-6b1d-4807-baac-88ec9f988d11,335691.1895,161531.6603
268,E01033784,37494f13-7e55-4367-9ace-cd6a1f85d34f,554090.1463,190595.822699999
269,E01018944,99dff50e-fcdf-4898-9d07-f6405f79913c,204143.8327,63904.5270000007
270,E01021113,bd2ec348-14c4-4856-b362-607122b261b8,574449.3633,108880.9333
271,E01031843,cd1ec495-323a-4c65-b2ed-8618add3b47b,427849.496,164583.518300001
272,E01024809,3b151691-649b-4d06-9d0e-f6796cbcfc1e,579752.3068,128363.2841
273,E01030705,3849abf1-4812-4906-9e90-8f846de7ff50,507490.92,170872.217599999
274,E01001154,3628b5a4-1b15-4b3b-9e9a-c7099a43582c,532756.5152,168391.7862
275,E01002523,efb6145a-4537-4be8-a0e8-159594116d82,505231.6021,183458.232899999
276,E01024811,09ef0653-7214-4b39-83d2-e74cd362597b,567041.0846,144571.1841
277,E01034032,767fffed-336f-454c-ada7-540e1ea87fd3,517416.8692,177789.1394
278,E01033938,5ee55c6f-3f34-4c6b-b821-0559671cba34,520239.582,182969.443399999
279,E01023088,b6243138-6d79-4d78-8fd5-97e132039c6f,434751.3613,113515.253599999
280,E01001704,328f4662-40a0-4c6a-b22c-39c7c7db4f68,544255.5441,177700.0919
281,E01030762,84293ede-8ed3-44b3-846f-5bd329f91db9,495223.7898,159602.1515
282,E01003761,1a6ed561-7c9c-4454-ac3c-2d6b968ea7d5,541342.6577,191052.120300001
283,E01009448,76373690-ed1f-4f86-a783-c579598045bd,414674.7936,296333.5857
284,E01030488,ff9f2051-9fe1-4ae6-b1f0-fd3bd199181e,498494.0912,152649.615499999
285,E01016285,04ede195-8451-4c61-8dd9-afe79d96bacd,453508.7252,176132.6954
286,E01016393,f4c362d9-1c5e-49b9-8062-573c66e910a4,470322.0266,172484.4143
287,E01029149,4f93eb32-482e-4bdd-b555-72cfcbc3c58c,337583.1441,147898.3781
288,E01020387,25dfd451-4f11-455b-9179-42a6a9c1b468,399068.7842,95649.9931000005
289,E01024536,e92d5ea8-5908-4d02-a88b-24f39de82e7d,612138.3786,135448.9988
290,E01003145,9399450c-a2fa-44cf-9542-208118916c08,530028.8686,170494.327
291,E01015056,fe55b392-a551-4189-b06d-9029ff29a722,250699.1647,56145.2419000007
